Model probability	Spectral learning probability
9.139147e-43	1.130496e-42	[4, 1, 6, 0, 3, 2, 0, 0, 3, 2, 7, 1, 6, 2, 6, 7, 6, 4, 2, 3, 7, 7, 5, 3, 2, 3, 6, 7, 6, 4, 3, 2, 7, 7, 4, 1, 4, 1, 0, 6, 5, 0, 0, 1, 0, 4, 6]
2.294526e-64	2.465654e-64	[7, 6, 6, 7, 0, 3, 0, 6, 4, 4, 0, 3, 0, 0, 0, 5, 5, 6, 2, 4, 5, 0, 6, 2, 7, 6, 6, 0, 3, 6, 3, 7, 0, 2, 2, 7, 1, 2, 2, 0, 5, 7, 0, 1, 6, 3, 1, 6, 7, 2, 1, 1, 0, 2, 7, 5, 3, 0, 6, 2, 0, 2, 3, 2, 3, 7, 3, 0, 1, 7, 5, 4]
1.763861e-78	1.827693e-78	[5, 0, 6, 6, 4, 7, 7, 1, 0, 7, 6, 7, 4, 1, 6, 0, 2, 7, 5, 7, 3, 3, 0, 7, 6, 2, 1, 5, 7, 4, 5, 2, 7, 3, 0, 7, 6, 4, 6, 6, 1, 4, 6, 2, 5, 7, 7, 2, 4, 7, 0, 6, 5, 2, 6, 6, 3, 0, 0, 3, 1, 5, 6, 4, 7, 0, 4, 7, 0, 2, 1, 3, 7, 6, 6, 7, 4, 3, 5, 3, 0, 4, 5, 4, 0, 2, 0]
1.063919e-40	1.128718e-40	[6, 0, 6, 0, 6, 0, 6, 0, 3, 0, 6, 2, 0, 7, 0, 6, 7, 7, 4, 1, 1, 6, 2, 0, 6, 0, 0, 2, 0, 5, 4, 2, 0, 7, 2, 0, 6, 2, 2, 5, 1, 7, 2, 3, 1, 4, 6]
5.153264e-16	4.118895e-16	[2, 3, 4, 1, 1, 2, 2, 4, 5, 5, 0, 1, 7, 7, 1, 5]
5.887625e-21	5.859972e-21	[7, 0, 2, 4, 6, 7, 2, 0, 6, 7, 6, 1, 4, 2, 4, 6, 5, 0, 6, 4, 6, 3, 4]
7.842279e-18	8.701090e-18	[0, 3, 1, 6, 0, 3, 0, 6, 6, 0, 2, 1, 0, 6, 6, 0, 7, 1, 1, 6]
3.439820e-30	3.060150e-30	[0, 1, 2, 6, 3, 4, 7, 6, 5, 0, 2, 5, 1, 3, 0, 0, 0, 3, 6, 0, 1, 0, 6, 3, 6, 0, 0, 6, 7, 5, 7, 0, 6, 2]
1.173719e-51	1.212772e-51	[3, 7, 6, 3, 3, 7, 4, 1, 3, 0, 4, 5, 4, 2, 6, 2, 7, 1, 7, 6, 0, 6, 4, 2, 3, 0, 0, 2, 2, 0, 1, 3, 0, 6, 0, 0, 0, 4, 6, 3, 6, 0, 7, 7, 2, 7, 0, 7, 0, 7, 3, 4, 0, 5, 7, 2, 6, 5]
1.482515e-24	1.294748e-24	[7, 0, 6, 7, 2, 7, 0, 2, 0, 0, 0, 7, 0, 2, 4, 7, 0, 0, 6, 1, 3, 7, 4, 6, 3, 4, 6, 2]
6.137120e-51	5.875983e-51	[6, 3, 2, 0, 7, 4, 7, 1, 4, 2, 7, 6, 6, 4, 4, 6, 0, 3, 6, 7, 6, 1, 0, 6, 2, 6, 3, 7, 6, 2, 0, 7, 7, 1, 6, 3, 2, 2, 6, 6, 5, 5, 1, 6, 2, 4, 1, 7, 6, 0, 5, 7, 1, 7, 4, 2, 3]
5.946134e-14	6.269102e-14	[4, 7, 3, 4, 4, 5, 6, 0, 0, 0, 2, 6, 6, 1, 0]
2.271040e-78	2.028549e-78	[2, 1, 0, 4, 7, 3, 2, 7, 6, 1, 0, 1, 2, 0, 7, 6, 7, 4, 7, 7, 7, 0, 4, 6, 2, 6, 2, 6, 1, 0, 1, 6, 0, 6, 6, 0, 5, 0, 3, 2, 7, 0, 2, 3, 7, 4, 4, 6, 0, 4, 2, 7, 4, 7, 3, 0, 0, 5, 0, 7, 7, 7, 1, 1, 0, 6, 3, 1, 1, 0, 7, 7, 6, 0, 6, 6, 0, 0, 0, 2, 7, 1, 6, 3, 4, 4, 6, 7, 1]
